index,mzmed,rtmed,matched,qSvsMB,qSvsNC,modelPredicted,predictVal,BLANK-A_0,BLANK-A_0.5,BLANK-A_1,BLANK-A_2,BLANK-A_3,BLANK-A_4,BLANK-A_5,BLANK-A_6,BLANK-A_7,BLANK-A_8,BLANK-A_9,BLANK-A_10,BLANK-A_11,BPF-A1_0,BPF-A1_0.5,BPF-A1_1,BPF-A1_2,BPF-A1_3,BPF-A1_4,BPF-A1_5,BPF-A1_6,BPF-A1_7,BPF-A1_8,BPF-A1_9,BPF-A1_10,BPF-A2_0,BPF-A2_0.5,BPF-A2_1,BPF-A2_2,BPF-A2_3,BPF-A2_4,BPF-A2_5,BPF-A2_6,BPF-A2_7,BPF-A2_8,BPF-A2_9,BPF-A2_10,BPF-B_0,BPF-B_0.5,BPF-B_1,BPF-B_2,BPF-B_3,BPF-B_4,BPF-B_5,BPF-B_6,BPF-B_7,BPF-B_8,BPF-B_9,BPF-B_10
23,23,202.93228451272716,1.1930434782608648,0,0.1406511808685954,1.0247175510437794,0,0,6744.9287109375,12463.6162109375,32753.9072265625,37739.548828125,49848.287109375,44007.5859375,48258.755859375,39833.42578125,52638.806640625,34825.1611328125,30386.6689453125,29715.173828125,34488.904296875,7253.207275390625,10656.30810546875,32048.9833984375,38114.076171875,49045.619140625,50136.697265625,45063.919921875,36743.603515625,37495.884765625,28711.576171875,26174.0576171875,26158.1796875,7076.044921875,11970.5302734375,31390.62890625,38280.419921875,48952.103515625,45896.962890625,49692.244140625,38230.890625,29690.84375,26953.6455078125,25357.248046875,24548.8017578125,5783.209228515625,5624.669677734375,0.0,4516.759765625,6565.14697265625,3321.181884765625,3219.651611328125,3545.661376953125,4361.552734375,6929.449951171875,2062.95166015625,7914.0244140625
24,24,180.93833868395643,1.1835390946502014,0,0.3594916285859246,0.9270609700636161,0,0,10379.58544921875,13614.7236328125,15682.0693359375,16576.38671875,16692.05224609375,17411.9375,17566.31640625,19568.6064453125,18402.755859375,21773.9931640625,21934.9521484375,24123.9462890625,23568.8642578125,11392.58349609375,12580.66552734375,15032.2060546875,15351.6083984375,17593.6767578125,16613.39599609375,19289.6142578125,21378.431640625,22665.314453125,34703.8447265625,25420.6220703125,24186.84375,10996.61669921875,12655.78759765625,15372.595703125,14960.56640625,18511.2529296875,17661.919921875,18874.8154296875,20238.099609375,27995.3271484375,25421.87890625,31971.404296875,21683.7451171875,7133.77880859375,7583.03173828125,7194.187744140625,7104.397705078125,7032.415771484375,7239.760498046875,7080.1943359375,7631.151611328125,6697.183837890625,6897.581787109375,6896.385009765625,6449.322021484375
25,25,164.9598343774615,1.2004115226337395,0,0.7985627315003535,0.9930845476068174,0,0,7987.6376953125,10166.673828125,13724.6806640625,14429.8291015625,15417.13623046875,14942.1220703125,15704.36865234375,17409.4375,18161.380859375,18051.0068359375,17207.28125,17102.9443359375,19492.984375,8173.566162109375,9909.736328125,13124.4013671875,13304.26318359375,16082.806640625,15295.9677734375,17589.7783203125,18392.6318359375,17612.064453125,14950.8466796875,13943.30712890625,13418.4326171875,7972.7041015625,10546.1552734375,14451.41455078125,12880.345703125,15566.46826171875,15740.56884765625,17366.3173828125,18545.486328125,18349.939453125,16205.77978515625,13655.42822265625,11984.7685546875,10833.3662109375,10525.46337890625,10291.724609375,9786.31298828125,10727.2294921875,11530.5244140625,11257.18115234375,11769.35546875,13944.6279296875,12643.72607421875,11942.04541015625,12525.740234375
26,26,149.98174769938493,1.1991596638655468,0,4.506535962454042e-15,0.941669538192541,0,0,0.0,0.0,0.0,4008.976318359375,8376.8291015625,28141.3359375,30091.1513671875,25972.02734375,33795.224609375,54424.9189453125,26936.7197265625,29204.7734375,30691.365234375,0.0,0.0,0.0,12371.04638671875,33262.1376953125,41679.94140625,29216.59765625,19978.357421875,28785.3291015625,31380.08203125,17600.34033203125,33613.9052734375,0.0,0.0,0.0,12003.8310546875,38814.748046875,38695.478515625,27512.2744140625,30713.3037109375,34585.9365234375,31568.4794921875,34190.462890625,36587.572265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,27,60.99079624615579,1.2061728395061677,0,0.20032500887110444,1.0180514244535224,0,0,8766.62548828125,11430.384765625,28293.146484375,34502.5625,43277.8359375,37285.3818359375,38618.291015625,26759.58984375,36290.34375,31559.615234375,21897.2265625,24103.4853515625,28838.5390625,7832.51513671875,10063.478515625,30600.412109375,31029.2763671875,39693.537109375,37854.630859375,31222.4970703125,24014.2490234375,23777.1943359375,20546.609375,16810.576171875,18388.7001953125,7849.815185546875,13465.8798828125,32817.0634765625,33638.8203125,42573.455078125,33680.615234375,35958.310546875,25493.0830078125,20950.2685546875,19544.3525390625,13231.095703125,18385.876953125,4924.397705078125,5187.96240234375,5423.155517578125,4570.3253173828125,5804.777587890625,5375.18505859375,6177.51123046875,4487.901611328125,4476.7081298828125,3968.24658203125,3858.5736083984375,4783.270263671875
28,28,160.937782065997,1.195020746887962,0,0.20331514619434077,1.0053762440688903,0,0,7601.668212890625,11418.75537109375,30446.09375,35755.41796875,43505.814453125,41030.146484375,43300.9453125,34202.853515625,42045.068359375,34859.205078125,29289.3203125,28633.345703125,30568.7705078125,7857.544677734375,11599.68896484375,31330.3447265625,35228.779296875,42709.890625,40254.484375,38831.26171875,31675.2880859375,31187.65234375,27669.3037109375,23824.1533203125,23961.9208984375,8164.149169921875,12986.3408203125,29554.5400390625,34867.96875,41776.064453125,39452.517578125,41621.65234375,32525.2685546875,29012.4814453125,28077.203125,21587.0498046875,25994.29296875,5484.686279296875,5202.394287109375,4845.903564453125,4456.65673828125,4422.70068359375,5417.531005859375,4676.73779296875,7276.34619140625,6682.314208984375,7863.860595703125,7832.07763671875,6160.401123046875
29,29,92.92861871045045,1.1005050505050469,0,0.9030239904327075,0.9682288222014498,0,0,35591.578125,41085.474609375,42457.494140625,40842.353515625,44198.275390625,44601.11328125,45855.037109375,41824.466796875,44680.533203125,38888.654296875,42494.9609375,38160.05859375,22058.2666015625,39002.580078125,43518.935546875,43470.08203125,44602.47265625,43676.390625,43395.787109375,42368.544921875,43289.5,41033.197265625,36546.646484375,26381.1044921875,22627.9228515625,36900.052734375,40166.818359375,37119.919921875,43135.537109375,43102.38671875,39957.787109375,43390.337890625,39648.966796875,45288.064453125,40998.087890625,42699.365234375,28634.28125,36174.275390625,36592.26171875,36479.3125,39189.423828125,35747.810546875,38622.43359375,36411.322265625,36096.7099609375,33592.646484375,33188.302734375,35452.69140625,31820.294921875
30,30,805.9802882194473,0.10617283950617297,0,0.9139848017127207,1.0129742658649272,0,0,29693.3359375,53305.0087890625,43994.431640625,24198.7744140625,35532.775390625,26482.255859375,30263.6455078125,25547.7138671875,31158.8232421875,21261.6220703125,23424.529296875,24245.59375,23142.8984375,31622.3662109375,25416.806640625,44641.732421875,31613.927734375,27272.4873046875,31412.826171875,34797.576171875,26246.41015625,34005.568359375,21305.337890625,19973.970703125,22737.6416015625,32589.271484375,29161.3564453125,38455.00390625,29572.1533203125,54912.8984375,28201.224609375,34787.69140625,18711.45703125,25176.7451171875,25575.9658203125,24749.921875,21941.0439453125,27436.677734375,29032.4228515625,30630.013671875,26813.171875,27897.490234375,30393.267578125,30730.943359375,26058.2314453125,23543.0146484375,22536.82421875,23829.2978515625,27794.0048828125
31,31,184.95429163803288,1.1938271604938255,0,0.62995764166124,1.021403801352715,0,0,13044.84423828125,15182.9736328125,17111.443359375,17050.7373046875,18600.318359375,16739.794921875,18426.00390625,18270.4677734375,20000.11328125,18802.8056640625,19673.298828125,18416.505859375,16738.57080078125,12386.48974609375,15067.52783203125,15971.07373046875,15578.58740234375,18359.8154296875,17990.029296875,20731.8046875,21506.365234375,19708.0712890625,14824.40234375,16276.4296875,12567.51123046875,12940.7763671875,14658.0390625,16354.51953125,15849.91943359375,19336.9228515625,19683.517578125,20283.4248046875,21338.404296875,20303.3642578125,16247.1962890625,19976.40478515625,11678.1806640625,13749.19921875,13769.70166015625,13093.9794921875,11669.49365234375,12259.2080078125,10930.8798828125,11364.5087890625,11641.65234375,11321.08544921875,11539.58203125,11194.9091796875,11288.978515625
32,32,158.94395356178285,1.2129166666666658,0,1.7153098916227305,0.8419234569568879,0,0,11537.87890625,16469.6083984375,8404.253173828125,9188.71435546875,10598.197265625,11705.01025390625,10643.31640625,10023.1318359375,10004.5537109375,15621.5400390625,13357.431640625,20112.44140625,17974.53125,12517.333984375,14969.41845703125,8845.39306640625,8213.456787109375,8932.83740234375,10229.66796875,11081.49755859375,18575.4658203125,14629.2373046875,19623.6298828125,25951.8134765625,23038.6484375,12805.90869140625,15456.66943359375,9238.056884765625,8747.849853515625,9698.68310546875,9991.71337890625,10183.251953125,15247.52587890625,13094.38330078125,18507.43798828125,33801.18359375,29832.5322265625,33489.361328125,32511.2587890625,36775.4130859375,44281.1171875,53590.072265625,55824.77734375,60791.220703125,44357.017578125,45132.24609375,38446.072265625,36724.125,62187.072265625
