"index","mzmed","rtmed","matched","qSvsMB","qSvsNC","modelPredicted","predictVal","BLANK.A_0","BLANK.A_0.5","BLANK.A_1","BLANK.A_2","BLANK.A_3","BLANK.A_4","BLANK.A_5","BLANK.A_6","BLANK.A_7","BLANK.A_8","BLANK.A_9","BLANK.A_10","BLANK.A_11","BPF.A1_0","BPF.A1_0.5","BPF.A1_1","BPF.A1_2","BPF.A1_3","BPF.A1_4","BPF.A1_5","BPF.A1_6","BPF.A1_7","BPF.A1_8","BPF.A1_9","BPF.A1_10","BPF.A2_0","BPF.A2_0.5","BPF.A2_1","BPF.A2_2","BPF.A2_3","BPF.A2_4","BPF.A2_5","BPF.A2_6","BPF.A2_7","BPF.A2_8","BPF.A2_9","BPF.A2_10","BPF.B_0","BPF.B_0.5","BPF.B_1","BPF.B_2","BPF.B_3","BPF.B_4","BPF.B_5","BPF.B_6","BPF.B_7","BPF.B_8","BPF.B_9","BPF.B_10"
10041,160.84202016543,4.13356164383562,0,1.33473926450336,0.740858851674329,0,0,0,0,0,0,0,673.749328613281,639.352844238281,2252.58850097656,703.508178710938,2465.26574707031,1246.15356445312,2780.93029785156,849.073974609375,0,0,0,0,0,0,722.646240234375,3884.55590820312,0,2671.41949462891,3912.2421875,3825.20349121094,0,0,0,0,0,795.88330078125,734.459167480469,2184.9501953125,2687.14624023438,2409.62365722656,2304.22247314453,2800.27795410156,882.235107421875,1508.10577392578,2491.30822753906,0,0,2879.35314941406,2295.283203125,2607.57141113281,1247.62524414062,2656.83483886719,2740.44189453125,0
10052,268.019144058228,1.22976190476191,0,26.3833727220831,6.42783070750568e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1649.51647949219,0,0,0,0,0,0,0,0,0,0,2084.2470703125,0,0,0,0,0,0,0,0,0,0,0,6234.77490234375,6147.36596679688,6585.29296875,0,6489.08129882812,3043.25073242188,2989.17065429688,6851.13159179688,4358.1630859375,0,3066.513671875,3489.89282226562
10053,218.930567026138,2.2475,0,3.64131997430444,0.87751089510336,0,0,0,0,0,0,886.012390136719,1074.91333007812,0,1519.94946289062,2107.52777099609,859.520751953125,0,824.363708496094,1088.20251464844,0,0,0,0,0,1839.72113037109,0,2074.03802490234,861.427001953125,1523.10083007812,1685.4765625,1719.44958496094,0,0,0,0,818.111267089844,914.338684082031,0,1553.64916992188,873.897766113281,862.538818359375,964.991149902344,1898.50103759766,1065.53601074219,0,1332.67370605469,0,2635.11340332031,3273.2509765625,3301.40905761719,3706.15869140625,3571.41149902344,3338.27697753906,3436.24975585938,6363.947265625
10055,160.841687907343,3.60724637681159,0,1.80630801798664,0.510342423132682,0,0,0,0,0,0,0,0,0,809.702941894531,0,2271.80059814453,879.43798828125,2348.97503662109,660.55078125,0,0,0,0,0,0,0,3496.41607666016,0,2604.70074462891,3655.63317871094,3512.29553222656,0,0,0,0,0,768.459045410156,0,1960.91412353516,2224.29736328125,2170.95532226562,2450.19805908203,2371.66137695312,985.168029785156,0,2443.15234375,0,1033.49108886719,3552.64270019531,3175.66540527344,2732.98510742188,2456.11938476562,3230.24206542969,3164.04162597656,0
10057,162.838184901646,3.36476190476191,0,2.72749506777938,0.398389197684301,0,0,0,0,0,0,0,0,0,0,0,748.545959472656,0,1863.05731201172,0,0,0,0,0,0,0,0,1948.58349609375,0,1359.16674804688,2591.83996582031,2172.08331298828,0,0,0,0,0,0,0,648.522705078125,993.852111816406,0,1090.47314453125,1297.76806640625,0,0,0,0,0,3147.57641601562,2735.30017089844,2243.01153564453,1254.95043945312,3254.14306640625,2763.01873779297,1106.46716308594
10058,965.995126732092,5.23251028806586,0,0.94885481777292,0.823092996747807,1,0.13,4476.77661132812,3886.23303222656,3225.93029785156,4318.37548828125,3318.83813476562,6947.34350585938,2640.87048339844,14056.19140625,2680.17980957031,14462.8383789062,14239.0185546875,14064.4916992188,4384.89208984375,3906.33288574219,3357.48547363281,3459.38342285156,4803.53930664062,2759.3759765625,2597.03173828125,2673.02294921875,19506.1328125,3535.7041015625,14414.279296875,17159.84375,17933.3310546875,4128.29809570312,2288.46478271484,3984.87255859375,2622.14697265625,3598.72888183594,7658.34240722656,3140.98510742188,15004.6733398438,12868.2749023438,15170.4384765625,27261.1494140625,14093.775390625,2677.7919921875,3280.54907226562,3636.16015625,2783.03784179688,3220.48364257812,2868.77380371094,3401.52722167969,14147.5239257812,13750.6787109375,14325.783203125,16092.9350585938,18460.365234375
10059,442.89473430927,1.13076923076923,0,2665286254882.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1613.97619628906,0,0,1584.36730957031,0,0,0,0,0,0,0
10060,324.965039339933,1.16363636363636,0,2.15700900193427,0.961630062289602,0,0,0,1883.00598144531,0,0,0,0,0,0,0,0,0,0,0,0,1795.78210449219,0,0,0,0,0,0,0,0,0,0,0,1819.24499511719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3898.82299804688,0,0,0,0,0,0,0
10061,366.94009472075,1.18571428571429,0,1,1121770207331.73,0,0,1458.30126953125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10062,530.876777013143,1.12916666666667,0,11.4919799314525,6.63678826949834e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361.620697021484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2077.86889648438,0,0,0,0,0,0,0,0,0,0,0
10064,504.880759910301,1.12962962962963,0,4.41732228137597,1.36847059969948e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,931.731506347656,0,0,0,0,0,0,0,0,0,0,0,822.051147460938,0,0,0,0,0,0,0,0,0,0,1932.44494628906,0,1941.06665039062,0,0,0,0,0,0,0,0,0
10065,290.02532765222,1.23968253968254,0,42.9270572868186,1.20004760931067e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999.92065429688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5543.33740234375,2729.42407226562,5825.10668945312,2591.91577148438,6034.3857421875,6509.7060546875,2813.47241210938,7129.50610351562,3748.5,0,0,0
